"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"8",0.0259025625471048,0.0280453809255776,-0.0268827290746342,-0.0241523622268914,0.0257100763557542,0.0183662615258463,0.00843807615710345,-0.0376983143932258,-0.0468117840438784,0.0358722204116472,0.0356459092191155,0.000688001883293342,-0.0504833752654996,0.00504084307524152
"8月",-0.0102595270193792,0.00302990671372688,0.00872655358942012,-0.063630848832977,-0.00784297234738315,-0.00183194038894416,0.072626465234455,0.00511349699334202,0.0147019459826171,0.00930074167800224,-0.0472770376936483,-0.000371494176982422,-0.0150578106564187,7.0640034808502e-05
"9",0.0127872520756402,0.000862003625538572,0.00470897216040691,0.00265011370677461,-0.011369611143716,-0.0233476435649787,-0.00849385339835035,0.00925324854138183,0.00145004506272477,0.012460527504032,0.0539923201528348,-0.0460887745515112,-0.0259188361013095,0.000881141201850291
"9月",0.0216004349219915,0.0471103973894063,-0.0735268007078196,0.0580062978161463,-0.0508917060507487,0.0042743753745205,-0.00323464780442445,0.0219944598989662,0.0443876694725201,-0.0107090769819221,0.0106775896574115,0.0293059433838499,0.00639861297885063,-0.00936720871128384
"A",-0.00806378797096633,0.0291520343532283,-0.0300363902426499,-0.01813238622399,-0.0212659633594197,-0.00417889144551785,0.0244393702275087,0.0183837997682055,0.0337760396537461,-0.0630629389203408,0.0159119861787885,-0.00894076058852761,-0.0179999329432865,-0.00698189334523808
"AM",-0.00767099509689554,-0.00475938011545699,0.0675858907445111,0.0806251100154375,0.0893158529715054,-0.0034868879899178,0.00770986348915627,-0.00587956242540736,0.0537660857713508,0.0472105205225565,0.0157398240851822,-0.0879411737196786,0.0565664515885468,-0.0151046991416419
"B",0.00109322609772942,0.0289200246908775,-0.0231382605122173,0.0195491076273378,-0.0193017373432184,0.00361747633652346,0.00217830205967215,0.0362318314687301,0.0121492726856807,0.0128676708290267,0.0409847475138528,0.0329209933569501,-0.0455040781538191,-0.00505959982381488
"C",-0.030926091490973,0.0404321898842905,-0.00930986192697999,0.0330521151157467,0.0155918331509847,-0.00898415018503201,0.112745868269192,-0.0221196920552296,0.0341776997348964,-0.0533939987935641,-0.0144237079680854,-0.00731589339419664,-0.0724533988566643,-0.00779785791043971
"cm",0.00973862878684594,0.031200856481719,-0.0135927314916963,-0.00167384105430971,0.0228294649256842,-0.0170585367066311,-0.0662571389813981,0.011304482501185,-0.0073322965042487,0.0131094588943629,-0.0111687234310996,-0.03271788326175,-0.0518192709428026,-0.000656241628257725
"CO2",0.00201544077002696,0.0293420767284475,-0.0147856062943397,-0.000476799307020761,0.029967488423231,0.0150583133608636,-0.0569483520654355,-0.0129161438062423,-0.038009900619924,0.0225617897497131,-0.0456871395385604,-0.0328846345478296,0.0139557612049127,0.00266701248396381
"D",0.000210734062871922,0.0184218671860114,-0.00833079374167517,0.00314089121965052,-0.0258470323215449,-0.00758742994689991,-0.037686598635151,-0.0245608449503977,-0.000704144568543545,0.0173178938336943,-0.00972964017865146,-0.0176758274716359,-0.0272805690394321,0.00395531689064209
"DNA",0.198704549172738,-0.0465286178026232,0.0210765303815219,-0.0473544988206298,0.0399279611394119,-0.00975570389407425,-0.0286665497009455,-0.0198928749314375,0.0349331886441664,0.0269611801211728,-0.050722663835691,0.0510548581108726,-0.0379874866930516,0.0153170329496376
"et al",0.00683932777848346,0.00865410129297345,0.0136149201624576,-0.000760417820958345,-0.0267339514097911,-0.0172998159865636,0.0321624306713525,-0.0268520569816638,-0.0575283025056259,0.00444581317382598,-0.0256262373788283,-0.0425085814521151,-0.00550380672917189,9.94632326073739e-05
"ha",0.00139362293019533,0.0351200926532539,0.034966733829737,-0.0383776564049394,-0.00618236041530956,0.0286150535999117,-0.0640634308415669,0.0320583580406488,-0.033070736114236,-0.0155169837546012,0.00098595256900752,0.0438449453988286,-0.00013984521090993,0.0086199160909477
